모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급,,행 레이블,평균 : 복합_연비,
싼타페(MX5) 2.5T-GDI AWD 5/6인 20인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,175,9.70 ,4등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 7인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,경유,2151,자동8,146,13.10 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 7인 18인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,143,13.30 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 4WD 7인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,152,12.60 ,3등급,TRUE,,,
쏘렌토(PE) 2.2디젤 2WD 7인 20인치,기아,승용차,다목적형,내연기관,경유,2151,자동8,144,13.20 ,3등급,TRUE,,,
Mercedes-Maybach S 580,벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,219,8.00 ,5등급,TRUE,,,
"Mercedes-Benz S 580 4MATIC	",벤츠,승용차,일반형,하이브리드,휘발유,3982,자동9,218,8.00 ,5등급,TRUE,,,
아이오닉5 N,현대,승용차,다목적형,전기(MCT),전기,,없음,0,3.70 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치(빌트인캠),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,162,10.40 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 5/6/7인 21인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,168,10.00 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 5인 20인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,162,10.40 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,158,10.60 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치(빌트인캠),현대,승용차,다목적형,내연기관,휘발유,2497,자동8,156,10.80 ,4등급,TRUE,,,
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치타이어,현대,승용차,다목적형,내연기관,휘발유,2497,자동8,152,11.00 ,4등급,TRUE,,,
